Noticias,links
"La mandataria confirmó que estará alejada de sus labores por un lapso de 10 días. Además, aseveró que se realizó pruebas de COVID-19. ",https://noticias.caracoltv.com/valle/por-una-afeccion-respiratoria-clara-luz-roldan-fue-internada-en-una-clinica-de-cali
"




",https://noticias.caracoltv.com/caribe/heroicos-policias-salvaron-a-mujer-que-estaba-a-punto-de-lanzarse-desde-un-puente-en-magdalena
Caribe,https://noticias.caracoltv.com/caribe
Heroicos policías salvaron a mujer que estaba a punto de lanzarse desde un puente en Magdalena,https://noticias.caracoltv.com/caribe/heroicos-policias-salvaron-a-mujer-que-estaba-a-punto-de-lanzarse-desde-un-puente-en-magdalena
"“A mí nadie me quiere, me quiero morir”, señalaba la madre de tres hijos, palabras que lograron ser persuadidas por los uniformados.",https://noticias.caracoltv.com/caribe/heroicos-policias-salvaron-a-mujer-que-estaba-a-punto-de-lanzarse-desde-un-puente-en-magdalena
"




",https://noticias.caracoltv.com/entretenimiento/respuesta-de-shannon-de-lima-a-usuario-que-le-dijo-mantenida-de-james
Entretenimiento,https://noticias.caracoltv.com/entretenimiento
Contundente respuesta de Shannon De Lima a usuario que le dijo “mantenida” de James,https://noticias.caracoltv.com/entretenimiento/respuesta-de-shannon-de-lima-a-usuario-que-le-dijo-mantenida-de-james
"El irrespetuoso aseguró, además, que la modelo usaba “mucho Photoshop” y recordó los nombres de sus exparejas.",https://noticias.caracoltv.com/entretenimiento/respuesta-de-shannon-de-lima-a-usuario-que-le-dijo-mantenida-de-james
"




",https://noticias.caracoltv.com/valle/madre-del-delito-mujer-que-integraba-banda-criminal-escondia-las-armas-en-el-coche-de-su-hijo
Valle,https://noticias.caracoltv.com/valle
Madre del delito: mujer que integraba banda criminal escondía las armas en el coche de su hijo ,https://noticias.caracoltv.com/valle/madre-del-delito-mujer-que-integraba-banda-criminal-escondia-las-armas-en-el-coche-de-su-hijo
"Lo hacía para disimular, pero en realidad era una peligrosa delincuente. Los elementos eran utilizados para robar joyas y, por lo menos, 200 motos al mes.",https://noticias.caracoltv.com/valle/madre-del-delito-mujer-que-integraba-banda-criminal-escondia-las-armas-en-el-coche-de-su-hijo
"




",https://noticias.caracoltv.com/antioquia/ciudadanos-denuncian-calvario-para-poder-sacar-sus-vehiculos-de-los-patios-en-medellin
Antioquia,https://noticias.caracoltv.com/antioquia
Ciudadanos denuncian calvario para poder sacar sus vehículos de los patios en Medellín,https://noticias.caracoltv.com/antioquia/ciudadanos-denuncian-calvario-para-poder-sacar-sus-vehiculos-de-los-patios-en-medellin
Es el caso de una docente que aseguró que lleva más de 15 días esperando y aún no le han brindado una solución.,https://noticias.caracoltv.com/antioquia/ciudadanos-denuncian-calvario-para-poder-sacar-sus-vehiculos-de-los-patios-en-medellin
"




",https://noticias.caracoltv.com/caribe/nino-de-12-anos-sufrio-graves-quemaduras-tras-la-caida-de-un-cable-en-barranquilla
Caribe,https://noticias.caracoltv.com/caribe
Niño de 12 años sufrió graves quemaduras tras la caída de un cable en Barranquilla ,https://noticias.caracoltv.com/caribe/nino-de-12-anos-sufrio-graves-quemaduras-tras-la-caida-de-un-cable-en-barranquilla
La red eléctrica alcanzó uno de los brazos del menor cuando este volvía a su casa. Duró 52 días en el hospital. ¿Qué responde Electricaribe?,https://noticias.caracoltv.com/caribe/nino-de-12-anos-sufrio-graves-quemaduras-tras-la-caida-de-un-cable-en-barranquilla
"




",https://noticias.caracoltv.com/valle/carcel-para-una-joven-que-asesino-a-una-mujer-durante-una-rina-entre-pandillas
Valle,https://noticias.caracoltv.com/valle
Cárcel para una joven que asesinó a una mujer durante una riña entre pandillas ,https://noticias.caracoltv.com/valle/carcel-para-una-joven-que-asesino-a-una-mujer-durante-una-rina-entre-pandillas
"Según la Fiscalía, este hecho sucedió en medio de una disputa entre bandas delincuenciales dedicadas al microtráfico.",https://noticias.caracoltv.com/valle/carcel-para-una-joven-que-asesino-a-una-mujer-durante-una-rina-entre-pandillas
"




",https://noticias.caracoltv.com/antioquia/rescatan-a-trabajadores-que-habian-caido-a-un-abismo-en-el-tunel-del-toyo
Antioquia,https://noticias.caracoltv.com/antioquia
Rescatan a trabajadores que habían caído a un abismo en el Túnel del Toyo,https://noticias.caracoltv.com/antioquia/rescatan-a-trabajadores-que-habian-caido-a-un-abismo-en-el-tunel-del-toyo
En las labores para salvar a los obreros trabajaron durante 12 horas organismos de emergencia de varios municipios del occidente antioqueño.,https://noticias.caracoltv.com/antioquia/rescatan-a-trabajadores-que-habian-caido-a-un-abismo-en-el-tunel-del-toyo
"




",https://noticias.caracoltv.com/valle/asi-termino-un-hombre-que-retuvo-e-intimido-a-su-companera-sentimental-y-a-sus-4-hijos
Valle,https://noticias.caracoltv.com/valle
Así terminó un hombre que retuvo e intimidó a su compañera sentimental y a sus 4 hijos ,https://noticias.caracoltv.com/valle/asi-termino-un-hombre-que-retuvo-e-intimido-a-su-companera-sentimental-y-a-sus-4-hijos
Se valió de una escopeta para amedrentar a la mujer y a los menores. La angustiosa situación se prolongó por más de 3 horas. Todo sucedió en su propia casa. ,https://noticias.caracoltv.com/valle/asi-termino-un-hombre-que-retuvo-e-intimido-a-su-companera-sentimental-y-a-sus-4-hijos
"




",https://noticias.caracoltv.com/mundo/encuentran-los-cuerpos-de-5-hermanitos-en-un-apartamento-y-la-mama-seria-la-responsable-del-crimen
Mundo,https://noticias.caracoltv.com/mundo
Encuentran los cuerpos de 5 hermanitos en un apartamento y la mamá sería la responsable del crimen,https://noticias.caracoltv.com/mundo/encuentran-los-cuerpos-de-5-hermanitos-en-un-apartamento-y-la-mama-seria-la-responsable-del-crimen
"La mujer se lanzó a un tren después de contarle a la abuela de los pequeños lo que había hecho, reportaron medios alemanes. Un sexto niño sobrevivió.",https://noticias.caracoltv.com/mundo/encuentran-los-cuerpos-de-5-hermanitos-en-un-apartamento-y-la-mama-seria-la-responsable-del-crimen
"




",https://noticias.caracoltv.com/mundo/como-malabarista-de-circo-arriesgo-su-vida-para-robar-cableado-electrico-y-termino-mal
Mundo,https://noticias.caracoltv.com/mundo
Como malabarista de circo: arriesgó su vida para robar cableado eléctrico a 10 metros de altura,https://noticias.caracoltv.com/mundo/como-malabarista-de-circo-arriesgo-su-vida-para-robar-cableado-electrico-y-termino-mal
"Cuando un ciudadano le increpó, dijo que lo hacía porque no tenía trabajo. No le importó ni la electricidad ni el riesgo que corría.",https://noticias.caracoltv.com/mundo/como-malabarista-de-circo-arriesgo-su-vida-para-robar-cableado-electrico-y-termino-mal
"




",https://noticias.caracoltv.com/mundo/reunion-entre-henrique-capriles-y-el-gobierno-de-maduro-molesto-a-guaido
Mundo,https://noticias.caracoltv.com/mundo
Reunión entre Henrique Capriles y el gobierno de Maduro molestó a Guaidó  ,https://noticias.caracoltv.com/mundo/reunion-entre-henrique-capriles-y-el-gobierno-de-maduro-molesto-a-guaido
El canciller de Turquía reveló parte del diálogo en el que se discutieron las garantías electorales. Stalin González también participó del encuentro.,https://noticias.caracoltv.com/mundo/reunion-entre-henrique-capriles-y-el-gobierno-de-maduro-molesto-a-guaido
"




",https://noticias.caracoltv.com/mundo/prueba-indiscutible-confirman-que-alexei-navalny-duro-critico-de-vladimir-putin-fue-envenenado
Mundo,https://noticias.caracoltv.com/mundo
"“Prueba indiscutible”: confirman que Alexei Navalny, duro crítico de Vladimir Putin, fue envenenado ",https://noticias.caracoltv.com/mundo/prueba-indiscutible-confirman-que-alexei-navalny-duro-critico-de-vladimir-putin-fue-envenenado
"El líder opositor se recupera en Alemania, donde le realizaron los exámenes que corroboraron el envenenamiento. Exigen explicaciones a Rusia. ",https://noticias.caracoltv.com/mundo/prueba-indiscutible-confirman-que-alexei-navalny-duro-critico-de-vladimir-putin-fue-envenenado
"




",https://noticias.caracoltv.com/mundo/ee-uu-se-la-juega-por-deportar-a-mancuso-a-colombia-estos-dos-sus-argumentos
Mundo,https://noticias.caracoltv.com/mundo
EE. UU. se la juega por deportar a Mancuso a Colombia: estos son sus argumentos  ,https://noticias.caracoltv.com/mundo/ee-uu-se-la-juega-por-deportar-a-mancuso-a-colombia-estos-dos-sus-argumentos
"Mientras abogados del exjefe paramilitar insisten en que sea enviado a Italia, administración Trump pide al juez que no le conceda beneficio alguno.",https://noticias.caracoltv.com/mundo/ee-uu-se-la-juega-por-deportar-a-mancuso-a-colombia-estos-dos-sus-argumentos
"




",https://noticias.caracoltv.com/mundo/esto-es-hermoso-papa-francisco-se-reencuentra-cara-a-cara-con-fieles-luego-de-6-meses
Mundo,https://noticias.caracoltv.com/mundo
“Esto es hermoso”: papa Francisco se reencuentra cara a cara con fieles luego de 6 meses,https://noticias.caracoltv.com/mundo/esto-es-hermoso-papa-francisco-se-reencuentra-cara-a-cara-con-fieles-luego-de-6-meses
"El lugar escogido fue el patio de San Dámaso, reservado para las visitas de Estado y a donde llegaron los fieles para escucharlo hablar de solidaridad.",https://noticias.caracoltv.com/mundo/esto-es-hermoso-papa-francisco-se-reencuentra-cara-a-cara-con-fieles-luego-de-6-meses
"




",https://noticias.caracoltv.com/mundo/muere-joven-embarazada-en-atentado-contra-su-novio-mientras-ambos-dormian
Mundo,https://noticias.caracoltv.com/mundo
Muere joven embarazada en atentado contra su novio mientras ambos dormían,https://noticias.caracoltv.com/mundo/muere-joven-embarazada-en-atentado-contra-su-novio-mientras-ambos-dormian
La mujer de 22 años recibió varios disparos mientras que su pareja sufrió heridas que no fueron de gravedad. El bebé también falleció.,https://noticias.caracoltv.com/mundo/muere-joven-embarazada-en-atentado-contra-su-novio-mientras-ambos-dormian
"




",https://noticias.caracoltv.com/mundo/se-le-dano-la-risa-a-grupo-de-payasos-que-despedia-con-fiesta-a-uno-de-sus-colegas
Mundo,https://noticias.caracoltv.com/mundo
Se les dañó la risa a payasos que despedían con fiesta a uno de sus colegas,https://noticias.caracoltv.com/mundo/se-le-dano-la-risa-a-grupo-de-payasos-que-despedia-con-fiesta-a-uno-de-sus-colegas
